SET B
4)select r.route_id,r.route_name ,r.distance from Route r ,booked_ticket where agent_id!='null' and booked_ticket.route_id=r.route_id;
+----------+-----------------------------+----------+
| route_id | route_name             | distance |
+----------+-----------------------------+----------+
| R010     | Mumbai - Goa           |      588 |
| R010     | Mumbai - Goa           |      588 |
| R010     | Mumbai - Goa           |      588 |
| R010     | Mumbai - Goa           |      588 |
| R010     | Mumbai - Goa           |      588 |
| R010     | Mumbai - Goa           |      588 |
| R010     | Mumbai - Goa           |      588 |
| R020     | Goa-Mumbai             |      588 |
| R006     | Bhopal-Delhi           |      700 |
| R006     | Bhopal-Delhi           |      700 |
| R006     | Bhopal-Delhi           |      700 |
| R006     | Bhopal-Delhi           |      700 |
| R020     | Goa-Mumbai             |      588 |
| R001     | Mumbai Central- Gandhinagar |      548 |
| R001     | Mumbai Central- Gandhinagar |      548 |
| R001     | Mumbai Central- Gandhinagar |      548 |
| R001     | Mumbai Central- Gandhinagar |      548 |
| R001     | Mumbai Central- Gandhinagar |      548 |
| R002     | New Delhi - Himachal   |      412 |
| R002     | New Delhi - Himachal   |      412 |
| R001     | Mumbai Central- Gandhinagar |      548 |
| R020     | Goa-Mumbai             |      588 |
| R010     | Mumbai - Goa           |      588 |
| R002     | New Delhi - Himachal    |      412 |
| R009     | Bhopal - Indore          |      246 |
| R010     | Mumbai - Goa            |      588 |
| R010     | Mumbai - Goa            |      588 |
| R010     | Mumbai - Goa            |      588 |
| R010     | Mumbai - Goa            |      588 |
| R010     | Mumbai - Goa            |      588 |
| R020     | Goa-Mumbai              |      588 |
| R006     | Bhopal-Delhi              |      700 |
| R006     | Bhopal-Delhi              |      700 |
| R006     | Bhopal-Delhi              |      700 |
| R006     | Bhopal-Delhi              |      700 |
| R020     | Goa-Mumbai              |      588 |
| R001     | Mumbai Central- Gandhinagar |      548 |
| R010     | Mumbai - Goa             |      588 |
| R020     | Goa-Mumbai                  |      588 |
| R010     | Mumbai - Goa               |      588 |
| R020     | Goa-Mumbai                 |      588 |
| R002     | New Delhi - Himachal  |      412 |
| R020     | Goa-Mumbai                 |      588 |
| R010     | Mumbai - Goa               |      588 |
| R008     | Dharwad - Bengaluru    |      432 |
| R008     | Dharwad - Bengaluru    |      432 |
| R020     | Goa-Mumbai             |      588 |
| R020     | Goa-Mumbai             |      588 |
| R020     | Goa-Mumbai             |      588 |
| R020     | Goa-Mumbai             |      588 |
| R020     | Goa-Mumbai             |      588 |
| R020     | Goa-Mumbai             |      588 |
| R020     | Goa-Mumbai             |      588 |
| R020     | Goa-Mumbai             |      588 |
| R020     | Goa-Mumbai             |      588 |
| R020     | Goa-Mumbai             |      588 |
| R020     | Goa-Mumbai             |      588 |
+----------+-----------------------------+----------+
58 rows in set (0.00 sec)

Q1)SELECT      s.schedule_id,     s.station_id,     s.route_id,     s.train_id,     s.arrival_time,     s.depart_time,     s.date,     d.driver_id,     d.remark,     d.time,     d.accommodation FROM      schedule s JOIN      DriverRoster d ON s.date = d.date  WHERE      s.date = '2023-10-10' AND d.remark = 'Main Driver' ORDER BY      s.depart_time;
+-------------+------------+----------+----------+--------------+-------------+------------+-----------+-------------+----------+---------------+
| schedule_id | station_id | route_id | train_id | arrival_time | depart_time | date  | driver_id | remark | time     | accommodation |
+-------------+------------+----------+----------+--------------+-------------+------------+-----------+-------------+----------+---------------+
| Sc39   | S32   |  R005    |  t9 | 21:35:00     | 00:00:00    | 2023-10-10 | d6   | Main Driver | 10:00:00 | No       |
| Sc39   | S32   |  R005    |  t9 | 21:35:00     | 00:00:00    | 2023-10-10 | d4   | Main Driver | 06:00:00 | Yes      |
| Sc39   | S32   |  R005    |  t9 | 21:35:00     | 00:00:00    | 2023-10-10 | d3   | Main Driver | 15:00:00 | No       |
| Sc39   | S32   |  R005    |  t9 | 21:35:00     | 00:00:00    | 2023-10-10 | d2   | Main Driver | 15:00:00 | Yes      |
| Sc44   | S29   |  R006    |  t6 | 20:45:00     | 00:00:00    | 2023-10-10 | d6   | Main Driver | 10:00:00 | No       |
| Sc44   | S29   |  R006    |  t6 | 20:45:00     | 00:00:00    | 2023-10-10 | d4   | Main Driver | 06:00:00 | Yes      |
| Sc44   | S29   |  R006    |  t6 | 20:45:00     | 00:00:00    | 2023-10-10 | d3   | Main Driver | 15:00:00 | No       |
| Sc44   | S29   |  R006    |  t6 | 20:45:00     | 00:00:00    | 2023-10-10 | d2   | Main Driver | 15:00:00 | Yes      |
| Sc51   | S7    |  R001    |  t7 | 11:40:00     | 00:00:00    | 2023-10-10 | d6   | Main Driver | 10:00:00 | No       |
| Sc51   | S7    |  R001    |  t7 | 11:40:00     | 00:00:00    | 2023-10-10 | d4   | Main Driver | 06:00:00 | Yes      |
| Sc51   | S7    |  R001    |  t7 | 11:40:00     | 00:00:00    | 2023-10-10 | d3   | Main Driver | 15:00:00 | No       |
| Sc51   | S7    |  R001    |  t7 | 11:40:00     | 00:00:00    | 2023-10-10 | d2   | Main Driver | 15:00:00 | Yes      |
| Sc57   | S13   |  R002    |  t1 | 12:10:00     | 00:00:00    | 2023-10-10 | d6   | Main Driver | 10:00:00 | No       |
| Sc57   | S13   |  R002    |  t1 | 12:10:00     | 00:00:00    | 2023-10-10 | d4   | Main Driver | 06:00:00 | Yes      |
| Sc57   | S13   |  R002    |  t1 | 12:10:00     | 00:00:00    | 2023-10-10 | d3   | Main Driver | 15:00:00 | No       |
| Sc57   | S13   |  R002    |  t1 | 12:10:00     | 00:00:00    | 2023-10-10 | d2   | Main Driver | 15:00:00 | Yes      |
| Sc61   | S42   |  R009    |  t5 | 13:00:00     | 00:00:00    | 2023-10-10 | d6   | Main Driver | 10:00:00 | No       |
| Sc61   | S42   |  R009    |  t5 | 13:00:00     | 00:00:00    | 2023-10-10 | d4   | Main Driver | 06:00:00 | Yes      |
| Sc61   | S42   |  R009    |  t5 | 13:00:00     | 00:00:00    | 2023-10-10 | d3   | Main Driver | 15:00:00 | No       |
| Sc61   | S42   |  R009    |  t5 | 13:00:00     | 00:00:00    | 2023-10-10 | d2   | Main Driver | 15:00:00 | Yes      |
| Sc45   | S1    |  R001    |  t7 | 00:00:00     | 06:00:00    | 2023-10-10 | d6   | Main Driver | 10:00:00 | No       |
| Sc45   | S1    |  R001    |  t7 | 00:00:00     | 06:00:00    | 2023-10-10 | d4   | Main Driver | 06:00:00 | Yes      |
| Sc45   | S1    |  R001    |  t7 | 00:00:00     | 06:00:00    | 2023-10-10 | d3   | Main Driver | 15:00:00 | No       |
